Q76	Barack%20Obama	5	[[Sidley Austin], [New York Public Interest Research Group], [Universitas Chicaginiensis, Universitatea din Chicago, Chicagoko Unibertsitatea, Universiteit van Chicago, Universidade de Chicago, Unibersidad han Chicago, Universidad de Chicago, Universitat de Chicago, Universiteti i Çikagos, Universidá de Chicago, University of Chicago, Università di Chicago, université de Chicago, Chicagská univerzita, Chikago universiteti, Univerzitet Chicaga, Çikaqo Universiteti, Çikago Uniwersiteti, Universitas Chicago, Universiti Chicago, Univerza v Chicagu, Chicagon yliopisto, Prifysgol Chicago, Varsity o Chicago, Ollscoil Chicago, Oilthigh Chicago, Chicagói Egyetem, Chicago-háskóli, Chicago Ülikool], [Gamaliel Foundation, Fundación Gamaliel, Fondation Gamaliel, Fundação Gamaliel, Fundació Gamaliel, Fonndas Gamaliel, Nadace Gamaliel], [Business Internaitional Corporation, Business International Corporation]]
Q45909	John%20Cale	1	[[Warner Bros. Records]]
Q19848	Lady%20Gaga	6	[[Interscope Records], [Polaroid], [Polydor Records, Polydor], [Cherrytree Records], [Sony/ATV Music Publishing], [Monster Inc.]]
Q6294	Hillary%20Clinton	5	[[Yale Review of Law and Social Action], [Children's Defense Fund], [Universitatea Statului Arkansas, Universitato de Arkansaso, Universiteit van Arkansas, Universidade do Arkansas, Università dell'Arkansas, université de l'Arkansas, Unibersidad ng Arkansas, Universidad de Arkansas, University of Arkansas, Universitat d'Arkansas, Arkansaská univerzita, Arkansas'n yliopisto, Prifysgol Arkansas, Oilthigh Arkansas], [], [Cabinet Rose Law, Rose Law Firm, Rose]]
Q1035	Charles%20Darwin	1	[[Y Gymdeithas Ddaearyddiaeth Frenhinol, An Comann Cruinn-eòlais Rìoghail, Brit Királyi Földrajzi Társaság, Regalis Societas Geographica, Société royale de géographie, Royal Geographical Society, Real Sociedade Geográfica]]
Q212499	Jean-L%C3%A9on%20G%C3%A9r%C3%B4me	0	[]
Q991	Fyodor%20Dostoyevsky	1	[[Sankt Petersbuerger  Akademie vun de Wëssenschaften, Sankt Petersburger Akademie der Wissenschaften, Accademia delle scienze di San Pietroburgo, Académie des sciences de Saint-Pétersbourg, Acadèmia de ciències de Sant Petersburg, Academia de Ciencies de San Petersburgu, Sankt Petersborgs Akademi for Videnskab, Academia de Ciencias de San Petersburgo, Keiserlik Peterburi Teaduste Akadeemia, Vitenskapsakademiet i St. Petersburg, San Petersburgoko Zientzien Akademia, Saint Petersburg Academy of Sciences, Russische Academie van Wetenschappen, Szentpétervári Tudományos Akadémia, Acadamh Ruiseanach nan Saidheansan, Academia Scientiarum Petropolitana, Vitskapsakademiet i St. Petersburg, Academi Gwyddoniaethau Rwsia, Academia Russa de Ciências, Rosyjska Akademia Nauk]]
Q7200	Alexander%20Pushkin	0	[]
Q5598	Rembrandt	0	[]
Q7833	Boris%20Vian	1	[[Association française de normalisation, AFNOR]]
Q9358	Friedrich%20Nietzsche	1	[[Basileako Unibertsitatea, Universidade de Basileia, Universidade de Basilea, Universitas Basiliensis, Universitatea din Basel, Universiteit van Bazel, Uniwersytet Bazylejski, Universitat de Basilea, Universidad de Basilea, Universitato de Bazelo, Universitetet i Basel, Univerzita v Basileji, Università di Basilea, Bazelio universitetas, Unibersidad ng Basel, University of Basel, université de Bâle, Basels Universitet, Bazel Universiteti, Basel Üniversitesi, Háskólinn í Basel, Universität Basel, Universitas Basel, Prifysgol Basel, Baseli Ülikool, Bázeli Egyetem, Oilthigh Basel, Ollscoil Basel]]
Q765165	Leonid%20Brezhnev	0	[]
Q41513	William%20Blake	0	[]
Q1744	Madonna%20%28entertainer%29	1	[[Dunkin' Donuts, Duncin' Donuts, Dunkin Donuts, Dunkin']]
Q37767	T.%20S.%20Eliot	2	[[Birkbeck, Unibersidad ng Londres, Birkbeck, University of London, Birkbeck, Prifysgol Llundain, Birkbeck, Oilthigh Lunnainn, Università di Birkbeck, Birkbeck College, Birkbeck], [Universitas Chicaginiensis, Universitatea din Chicago, Chicagoko Unibertsitatea, Universiteit van Chicago, Universidade de Chicago, Unibersidad han Chicago, Universidad de Chicago, Universitat de Chicago, Universiteti i Çikagos, Universidá de Chicago, University of Chicago, Università di Chicago, université de Chicago, Chicagská univerzita, Chikago universiteti, Univerzitet Chicaga, Çikaqo Universiteti, Çikago Uniwersiteti, Universitas Chicago, Universiti Chicago, Univerza v Chicagu, Chicagon yliopisto, Prifysgol Chicago, Varsity o Chicago, Ollscoil Chicago, Oilthigh Chicago, Chicagói Egyetem, Chicago-háskóli, Chicago Ülikool]]
